"timeStamp","URL","blogName","title","tags","body"
"2023-06-19 09:38:39 GMT","https://pukicho.tumblr.com/post/720547369208446976/i-have-chosen-to-strike-first-thanks-all","pukicho","","[]","Guys i have to get my blood drawn tomorrow what do i do 

I have chosen to strike first. thanks all."
"2023-06-19 01:42:52 GMT","https://pukicho.tumblr.com/post/720517435735900160/guys-i-have-to-get-my-blood-drawn-tomorrow-what-do","pukicho","","[]","Guys i have to get my blood drawn tomorrow what do i do"
"2023-06-18 04:24:27 GMT","https://pukicho.tumblr.com/post/720437003702960128/organic","pukicho","","[]","organic"
"2023-06-14 05:53:30 GMT","https://pukicho.tumblr.com/post/720080219400241152/pukicho-pukicho-i-am-so-lonely-sike-i-am","pukicho","","[]","pukicho:

i am so lonely 

SIKE! I am actually badass as fuck 

*rides my harley davison into a gas station, killing three"
"2023-06-12 20:06:13 GMT","https://pukicho.tumblr.com/post/719952673462468608/nyancrimew-pukicho-pukicho-heaven-for","pukicho","","[]","nyancrimew:

pukicho:

  Pukicho heaven 

for pukicho there is only hell

Your suffering is my heaven"
"2023-06-12 02:23:14 GMT","https://pukicho.tumblr.com/post/719885796460658688/pukicho-heaven","pukicho","","[]","Pukicho heaven"
"2023-06-08 23:49:35 GMT","https://pukicho.tumblr.com/post/719604338595594240/huge-news-my-neighborhood-has-a-new-golden","pukicho","","[]","huge news, my neighborhood has a new golden retriever puppy who goes for walks every single day and he passes by my house"
"2023-06-02 22:13:13 GMT","https://pukicho.tumblr.com/post/719054693778751488/songstress-azuras-pukicho-guys-it-seems","pukicho","","[]","songstress-azuras:

pukicho:

  guys, it seems tumblr went woke"
"2023-06-02 22:01:50 GMT","https://pukicho.tumblr.com/post/719053977841549312/truches-pukicho-pukicho-shower-thoughts","pukicho","","[]","truches:

pukicho:

  pukicho:

Shower thoughts: water

soap

Breag

nice one buddy"
"2023-06-02 21:59:35 GMT","https://pukicho.tumblr.com/post/719053835972263936/guys-it-seems-tumblr-went-woke","pukicho","","[]","guys, it seems tumblr went woke"
"2023-06-01 06:54:02 GMT","https://pukicho.tumblr.com/post/718906267187412992/pukicho-shower-thoughts-water-soap","pukicho","","[]","Shower thoughts: water

soap"
"2023-06-01 06:53:54 GMT","https://pukicho.tumblr.com/post/718906258479022080/shower-thoughts-water","pukicho","","[]","Shower thoughts: water"
"2023-05-31 00:05:12 GMT","https://pukicho.tumblr.com/post/718789947909423104/taking-a-shower-in-the-morning-is-crazy-u-go-to","pukicho","","[]","taking a shower in the morning is crazy, u go to bed stinky, you little shit?"
"2023-05-30 23:52:25 GMT","https://pukicho.tumblr.com/post/718789144339513344/this-shit-sounds-like-ass","pukicho","","[]","This shit sounds like ass"
"2023-05-28 00:59:12 GMT","https://pukicho.tumblr.com/post/718521554560040960","pukicho","","[]","sardonic-the-writer:

pukicho:

Slutting around the library, pretending to read books so everyone thinks I’m smart (I’m not)

This is bait no one respond

Kill you"
"2023-05-27 02:48:26 GMT","https://pukicho.tumblr.com/post/718437830217564160/welcome-to-wormrealm","pukicho","","[]","welcome to worm.realm"
"2023-05-26 03:16:01 GMT","https://pukicho.tumblr.com/post/718348968861564928/pukicho-oi-pukicho-needs-2-sell-stuff-to-live-i","pukicho","","[]","oi pukicho needs 2 sell stuff to live. I am selling a prophet 6 Keyboard edition AND a Fanatec racing wheel & wheel base. INQUIRE if u want that shit u silly babies. 

SYNTH FANS CAR FANS gimme gimme gimme"
"2023-05-26 01:23:31 GMT","https://pukicho.tumblr.com/post/718341891122462720/pukicho-i-love-how-u-can-see-a-number-next-to-the","pukicho","","[]","I love how u can see a number next to the askbox again, now if I say something fucked up, I know how many people want me dead

  ahhahahha"
"2023-05-26 00:49:28 GMT","https://pukicho.tumblr.com/post/718339748053352448/i-love-how-u-can-see-a-number-next-to-the-askbox","pukicho","","[]","I love how u can see a number next to the askbox again, now if I say something fucked up, I know how many people want me dead"
"2023-05-25 08:59:31 GMT","https://pukicho.tumblr.com/post/718279982212841472/oi-pukicho-needs-2-sell-stuff-to-live-i-am","pukicho","","[]","oi pukicho needs 2 sell stuff to live. I am selling a prophet 6 Keyboard edition AND a Fanatec racing wheel & wheel base. INQUIRE if u want that shit u silly babies."
"2023-05-25 04:19:19 GMT","https://pukicho.tumblr.com/post/718262353853071360/pukicho-blepm-pukicho-do-fish-get-thirsty","pukicho","","[]","blepm:

pukicho:

  do fish get thirsty? real answers only pls

well, they do piss so…

so what?

so fucking what???"
"2023-05-25 04:01:42 GMT","https://pukicho.tumblr.com/post/718261245282861056/do-fish-get-thirsty-real-answers-only-pls","pukicho","","[]","do fish get thirsty? real answers only pls"
"2023-05-20 21:45:31 GMT","https://pukicho.tumblr.com/post/717875190719201281/tinedrise-pukicho-glad-to-see-people-are","pukicho","","[]","tinedrise:

pukicho:

  Glad to see people are excited to see me 

…why’s there a /j puki?

it means joy"
"2023-05-20 21:44:19 GMT","https://pukicho.tumblr.com/post/717875114442686464/glad-to-see-people-are-excited-to-see-me","pukicho","","[]","Glad to see people are excited to see me"
"2023-05-20 04:00:00 GMT","https://pukicho.tumblr.com/post/717808154022379520/ssouppp-pukicho-elect-me-president-and-i","pukicho","","[]","ssouppp:

pukicho:

  elect me president and I promise to kill you horribly 

you prommy????? 🥺🥺😅🫨👍

You first"
"2023-05-20 03:48:20 GMT","https://pukicho.tumblr.com/post/717807419850440704/elect-me-president-and-i-promise-to-kill-you","pukicho","","[]","elect me president and I promise to kill you horribly"
"2023-05-14 05:54:23 GMT","https://pukicho.tumblr.com/post/717271768560254976/pukicho-i-hope-everyone-is-having-a-fucking-day","pukicho","","[]","I hope everyone is having a fucking day"
"2023-05-13 20:15:13 GMT","https://pukicho.tumblr.com/post/717235330352283648/lets-say-we-caught-conclusive-evidence-of-mothman","pukicho","","[]","Lets say we caught conclusive evidence of mothman caught on camera with the caveat that in this video we also see mothman killing and sucking the blood out of a fully grown man. How many people do you think would care about that man, and how many people do u think would just go “YEAHHH MOTHMAN IS REAL!”"
"2023-05-13 19:18:16 GMT","https://pukicho.tumblr.com/post/717231747101786112/welcome-back-to-the-internet-i-assume-youve-been","pukicho","","[]","furrytechgirl:

pukicho:

WTF every day i want french fries what is this

Crave that mineral, you are a goat.

Welcome back to the internet, I assume you’ve been gone for 9 fucking years"
"2023-05-13 19:11:29 GMT","https://pukicho.tumblr.com/post/717231321003458560/wtf-every-day-i-want-french-fries-what-is-this","pukicho","","[]","WTF every day i want french fries what is this"
"2023-05-08 00:46:18 GMT","https://pukicho.tumblr.com/post/716708804196253696/trans-an4rchy-pukicho-i-inhaled-a-fuck-load-of","pukicho","","[]","trans-an4rchy:

pukicho:

  I inhaled a fuck load of harmful plastic fumes a couple months ago by burning ziploc bags with a hot scalding knife 

lore

What the fuck are you talking about"
"2023-05-08 00:44:56 GMT","https://pukicho.tumblr.com/post/716708717784072192/i-inhaled-a-fuck-load-of-harmful-plastic-fumes-a","pukicho","","[]","I inhaled a fuck load of harmful plastic fumes a couple months ago by burning ziploc bags with a hot scalding knife"
"2023-05-05 08:07:57 GMT","https://pukicho.tumblr.com/post/716464799513460736/is-anyone-else-unable-to-focus-or-do-anything-or","pukicho","","[]","is anyone else unable to focus or do anything or feel good if u hear even a fucking footstep from another fucking human being?"
"2023-05-02 21:55:32 GMT","https://pukicho.tumblr.com/post/716245075249741824/thygoddessouijathicc-pukicho","pukicho","","[]","thygoddessouijathicc:

pukicho:

  thegrimlockreaper:

pukicho:

  hungry hungry hippos taught me greed 

*gluttony

I am not eating small plastic balls 

Pussy

This is feeling like a very hostile place right now"
"2023-05-02 07:55:47 GMT","https://pukicho.tumblr.com/post/716192242744885248/hungry-hungry-hippos-taught-me-greed","pukicho","","[]","hungry hungry hippos taught me greed"
"2023-04-27 17:08:37 GMT","https://pukicho.tumblr.com/post/715774039272161280","pukicho","","[]","pukicho:

infinitycarrot1:

pukicho:

Guys i found a decapitated stretchy alien in an old toy box. Its so gross and old, take a look. 

I’m sorry but why does that look like my almost dead 60+ year old uncle who abused my mom and her sister when they were growing up 💀

How the fuck should I know

What does “caked up” mean"
"2023-04-27 07:34:06 GMT","https://pukicho.tumblr.com/post/715737893260394496/before-meeting-my-girlfriend-i-never-wouldve","pukicho","","['put this one in the puki ho wholesome YouTube compilation']","Before meeting my girlfriend I never would’ve shared any of my food ever, because fuck you, you know? But I was eating this fancy chex mix and they have these tasty brown bits and they’re my favorite, and I never would’ve shared those tasty little morsels beforehand, but getting to share it with her was somehow even better than outright eating it. So the moral of the story isn’t “sharing is caring” because I would never EVER share my perfect tasty morsels with a fucking stranger, the moral of the story is to be a muscled stud and have a perfect chex mix-type girlfriend."
"2023-04-26 22:42:01 GMT","https://pukicho.tumblr.com/post/715704418284257280/how-the-fuck-should-i-know","pukicho","","[]","infinitycarrot1:

pukicho:

Guys i found a decapitated stretchy alien in an old toy box. Its so gross and old, take a look. 

I’m sorry but why does that look like my almost dead 60+ year old uncle who abused my mom and her sister when they were growing up 💀

How the fuck should I know"
"2023-04-26 20:10:41 GMT","https://pukicho.tumblr.com/post/715694896616472576/guys-i-found-a-decapitated-stretchy-alien-in-an","pukicho","","[]","Guys i found a decapitated stretchy alien in an old toy box. Its so gross and old, take a look."
"2023-04-22 22:23:54 GMT","https://pukicho.tumblr.com/post/715340890286276608/pukicho-hey-staff-its-me-pukicho-remove-tumblr","pukicho","","[]","hey staff its me, pukicho, remove tumblr live this instant . 

who the fuck blazed my post"
"2023-04-22 21:14:38 GMT","https://pukicho.tumblr.com/post/715336532872085504/hey-staff-its-me-pukicho-remove-tumblr-live-this","pukicho","","[]","hey staff its me, pukicho, remove tumblr live this instant ."
"2023-04-22 18:49:53 GMT","https://pukicho.tumblr.com/post/715327425794457600/i-love-how-spiderman-is-kinda-like-our-biggest","pukicho","","[]","I love how spiderman is kinda like our biggest guy. The Greeks had Odysseus, we have spiderman."
"2023-04-21 07:42:00 GMT","https://pukicho.tumblr.com/post/715194809407733760/pukicho-blepm-pukicho-dont-be-scared-even","pukicho","","[]","blepm:

pukicho:

  dont be scared, even cryptids probably cum

excuse me?

no matter how scary and weird they are, they still probably cum, its supposed to be a relaxing thought

I am relaxing you"
"2023-04-21 07:35:45 GMT","https://pukicho.tumblr.com/post/715194415453487104/dont-be-scared-even-cryptids-probably-cum","pukicho","","[]","dont be scared, even cryptids probably cum"
"2023-04-21 07:30:47 GMT","https://pukicho.tumblr.com/post/715194103572447232/i-have-eaten-so-much-astroturf","pukicho","","[]","omninb:

pukicho:

We really let those rich elites convince us golf is a sport. You let them get away with it too, you fucks. 

And what have you done about it, punk?

I have eaten so much AstroTurf"
"2023-04-21 07:29:16 GMT","https://pukicho.tumblr.com/post/715194007844716544/what-really-is-pukicho-we-will-do-extensive","pukicho","","[]","what really ‘is’ pukicho. we will do extensive research killing him"
"2023-04-19 09:51:58 GMT","https://pukicho.tumblr.com/post/715021791369756672/we-really-let-those-rich-elites-convince-us-golf","pukicho","","[]","We really let those rich elites convince us golf is a sport. You let them get away with it too, you fucks."
"2023-04-19 09:11:58 GMT","https://pukicho.tumblr.com/post/715019274724507648/i-can-say-and-do-anything-with-consequences","pukicho","","[]","I can say and do anything with consequences"
"2023-04-19 09:09:38 GMT","https://pukicho.tumblr.com/post/715019128217403392/thanks-for-adding-your-timezone-that-really-helps","pukicho","","[]","chaos–king:

pukicho:

Burping and coughing rn what’s up

Just got into work, 5am est

Thanks for adding your timezone that really helps"
"2023-04-19 09:06:18 GMT","https://pukicho.tumblr.com/post/715018918766460928/burping-and-coughing-rn-whats-up","pukicho","","[]","Burping and coughing rn what’s up"
"2023-04-16 23:32:18 GMT","https://pukicho.tumblr.com/post/714801611752554496/i-am-a-gamer-so-zelda-tears-of-the-fallen-kingdom","pukicho","","[]","I am a gamer so Zelda tears of the fallen kingdom, I’m gonna call it right now, I think Gannon is gonna be a cool guy that u hang out with, and he’s gonna be kinda chill. thats my cool game theory"
"2023-04-16 20:05:56 GMT","https://pukicho.tumblr.com/post/714788627896467456/salsas-wares-pukicho-your-old-pal-pukicho-is","pukicho","","[]","salsas-wares:

pukicho:

  your old pal pukicho is not in the best spirits today. ur ol pal pukicho needs some cheering up

i don’t think you deserve it

I am no longer sad now I just want to get you"
"2023-04-15 21:20:45 GMT","https://pukicho.tumblr.com/post/714702737944788992/your-old-pal-pukicho-is-not-in-the-best-spirits","pukicho","","[]","your old pal pukicho is not in the best spirits today. ur ol pal pukicho needs some cheering up"
"2023-04-14 21:31:41 GMT","https://pukicho.tumblr.com/post/714612829832036352/itschrisboys-pukicho-i-think-there-should-be","pukicho","","[]","itschrisboys:

  pukicho:

  I think there should be levels to the death penalty. Like if u kill one guy, then you just get lethal injection or whatever, but if you kill 30 guys, which is pretty bad, you get shot out a canon whilst silly circus music plays in the background. 

or we could just….not kill people? i mean, supermax prisons exist for a reason.

Funny big clown cannons exist for a reason too"
"2023-04-14 18:07:43 GMT","https://pukicho.tumblr.com/post/714599996981395456/thrawngirl9-pukicho-i-am-now-leaving-my-3-week","pukicho","","[]","thrawngirl9:

pukicho:

  I am now leaving my 3 week hiatus that I didn’t tell any of you about but it happened and now I am fucking back 

It’s not like we noticed you dissapear

thats because i am incredibly smart and left my hiatus 30 times to make more posts"
"2023-04-14 18:01:53 GMT","https://pukicho.tumblr.com/post/714599629633830912/i-am-now-leaving-my-3-week-hiatus-that-i-didnt","pukicho","","[]","I am now leaving my 3 week hiatus that I didn’t tell any of you about but it happened and now I am fucking back"
"2023-04-14 17:51:27 GMT","https://pukicho.tumblr.com/post/714598973650993152/i-think-there-should-be-levels-to-the-death","pukicho","","[]","I think there should be levels to the death penalty. Like if u kill one guy, then you just get lethal injection or whatever, but if you kill 30 guys, which is pretty bad, you get shot out a canon whilst silly circus music plays in the background."
"2023-04-14 08:15:27 GMT","https://pukicho.tumblr.com/post/714562734552907776/saw-this-robot-toilet-at-the-restaurant-was-too","pukicho","","[]","Saw this robot toilet at the restaurant. Was too scared to pee in it so I pissed adjacent to it on th floor."
"2023-04-08 17:40:33 GMT","https://pukicho.tumblr.com/post/714054706111053824/thebirdthedog-pukicho-40-sharks-vs-one-kid","pukicho","","[]","thebirdthedog:

pukicho:

  40 sharks vs one kid, go 

on land or underwater?

The sharks are in water the kid is currently in Austin Texas."
"2023-04-08 17:38:41 GMT","https://pukicho.tumblr.com/post/714054588820602880/40-sharks-vs-one-kid-go","pukicho","","[]","40 sharks vs one kid, go"
"2023-04-07 20:41:35 GMT","https://pukicho.tumblr.com/post/713975498989076480/shout-out-to-the-dark","pukicho","","[]","Shout out to the dark"
"2023-04-06 18:28:10 GMT","https://pukicho.tumblr.com/post/713876507266842624/being-rick-rolled-was-a-nice-troll-back-in-the","pukicho","","[]","Being rick-rolled was a nice troll back in the day, nowadays you dox people and tell them to die, which is a better troll I guess but I miss the simplicity of it all."
